0,1,2,3,4,5,6,7
2020,3,18,pm,5,36,user1,내일까지 읽어오시오.
2020,3,18,pm,5,44,user2,오머야
2020,3,18,pm,5,44,user3,ㅎㅇㅎㅇ
2020,3,18,pm,5,44,user2,이모티콘 안냐세영
2020,3,18,pm,5,44,user1,그냥 이거 읽으면
2020,3,18,pm,5,44,user2,쟤넨 석사인가?
2020,3,18,pm,5,45,user1,똑똑해짐
2020,3,18,pm,5,45,user1,뭔가
2020,3,18,pm,5,45,user2,아그래?
2020,3,18,pm,5,45,user1,트렌드분석이니깐
2020,3,18,pm,5,45,user1,학사각
2020,3,18,pm,5,45,user1,기업 사례분석
2020,3,18,pm,5,45,user1,ㅋㅋㅋㅋㅋㅋㅋ
2020,3,18,pm,5,45,user2,ㅋㅋㅋㅋㅁㅊ
2020,3,18,pm,5,45,user2,똑같은 멍청이들이네 모
2020,3,18,pm,5,45,user1,근데 읽으면
2020,3,18,pm,5,45,user1,아이디어가
2020,3,18,pm,5,45,user1,떠오를수도 있음
2020,3,18,pm,5,45,user1,제발 읽어줘
2020,3,18,pm,5,45,user1,부탁이여
2020,3,18,pm,5,45,user2,물류는 머 재밌는거가 없던데 용케 찾았넹
2020,3,18,pm,5,45,user2,아니읽고잇어
2020,3,18,pm,5,45,user2,걱정마러
2020,3,18,pm,5,45,user1,좀
2020,3,18,pm,5,45,user1,읽을만함
2020,3,18,pm,5,45,user1,ㅇㅈ?
2020,3,18,pm,5,46,user1,그리고 지환이형이 자기 상받은거 자료 주신대
2020,3,18,pm,5,49,user2,대충빠르게 읽엇는데
2020,3,18,pm,5,49,user2,칸반시스템을 단순 디지탈화한거랑 머가다름???
2020,3,18,pm,5,49,user1,ㅋㅋㅋㅋㅋㅋㅋㄲㅋ
2020,3,18,pm,5,49,user1,그냥 그 앞에
2020,3,18,pm,5,49,user1,기업 사례들보고
2020,3,18,pm,5,50,user1,이렇구나~
2020,3,18,pm,5,50,user1,하란 목적으로
2020,3,18,pm,5,50,user1,준거임
2020,3,18,pm,5,50,user2,아 현황분석만 보면대??
2020,3,18,pm,5,50,user2,ㅇㅎ
2020,3,18,pm,5,50,user1,ㅇㅇ
2020,3,18,pm,5,50,user2,놀랍게도 석사애들이네용
2020,3,18,pm,5,50,user1,여기서 알 수 있는점은
2020,3,18,pm,5,50,user1,스마트팩토리도
2020,3,18,pm,5,50,user1,scm의 일부다
2020,3,18,pm,5,50,user1,근데 아두이노는 좀 빼고 싶긴 하다
2020,3,18,pm,5,51,user1,근데 뭔가 다들 보고서로 입은 잘 털거 같아서
2020,3,18,pm,5,51,user1,뭘 보여줄게 있어야 할 것 같다
2020,3,18,pm,5,51,user2,맞지 옵션일뿐이니깐 빼버려두 괜찮으나 플러스알파가 될수도 있구
2020,3,18,pm,5,51,user1,그래서 시뮬레이션은
2020,3,18,pm,5,51,user1,가져가는게 좋을거같다
2020,3,18,pm,5,51,user1,라는 결론이었어
2020,3,18,pm,5,51,user1,어땠어
2020,3,18,pm,5,52,user2,좋졍
2020,3,18,pm,5,52,user3,나 과제만 끝내고 볼께요
2020,3,18,pm,5,52,user1,넵
2020,3,18,pm,5,52,user1,3.시스템 설계 전까지만 보시면 됩니다
2020,3,18,pm,5,55,user1,세아왜전화함
2020,3,18,pm,5,56,user2,ㅋㅋ퇴근했다고 자랑하려고
2020,3,18,pm,5,56,user2,이모티콘
2020,3,18,pm,5,57,user1,이모티콘
2020,3,18,pm,6,5,user2,다읽었다
2020,3,18,pm,10,23,user1,상받은거주심
2020,3,18,pm,10,25,user2,My storage running out
2020,3,18,pm,10,25,user1,?
2020,3,18,pm,10,25,user1,모했어
2020,3,18,pm,10,25,user2,Can u give me pdf version?
2020,3,18,pm,10,25,user2,Plz
2020,3,18,pm,10,26,user1,나지금지하철
2020,3,18,pm,10,26,user1,성훈 한 plz
2020,3,18,pm,10,28,user3,읽기 전용이라서 다른이름으로 저장이안되는 상황
2020,3,18,pm,10,28,user3,small pdf도 변환 안해주는 상황
2020,3,18,pm,10,28,user3,이상
2020,3,18,pm,10,29,user1,사진 6장
2020,3,18,pm,10,30,user1,어휴
2020,3,18,pm,10,30,user1,이모티콘
2020,3,18,pm,10,31,user2,이모티콘
2020,3,19,pm,12,0,user1,4시반까지감
2020,3,19,pm,12,3,user3,ㅋㅋㅋ물류경영이 잘 끝난다면
2020,3,19,pm,12,4,user1,ㅇㅈ
2020,3,19,pm,12,4,user3,어제 너가 올린거 스제개 과제할때 거의 다 본거든데ㅋㅋㅋ
2020,3,19,pm,12,4,user1,와웅..
2020,3,19,pm,12,4,user1,헬제개 역시
2020,3,19,pm,12,5,user3,ㅋㅋㅋㅋ그때 스마트 붙은건 거의다 찾아본것같아 젠장
2020,3,19,pm,12,6,user2,ㅋㅋㅋㅋㅋ
2020,3,19,pm,12,7,user2,스
2020,3,19,pm,12,7,user1,ㅋㅋ
2020,3,19,pm,12,7,user1,1시 수업이다!!!!!!!!!!!
2020,3,19,pm,12,7,user2,샵검색: #스마트제조
2020,3,19,pm,12,7,user1,와
2020,3,19,pm,12,7,user3,홀리
2020,3,19,pm,12,7,user2,모야 저책 몰라써?
2020,3,19,pm,12,7,user2,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020,3,19,pm,12,7,user1,알지
2020,3,19,pm,12,8,user1,맨첫번째나올줄은
2020,3,19,pm,12,8,user1,모름
2020,3,19,pm,12,8,user2,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020,3,19,pm,12,8,user2,우끼다
2020,3,19,pm,12,8,user2,물경 어떡해 진짜 없던 지병 생기겠다
2020,3,19,pm,12,20,user1,이모티콘
2020,3,19,pm,12,40,user1,아 시벌
2020,3,19,pm,12,40,user1,물류경영
2020,3,19,pm,12,40,user1,실시간이네
2020,3,19,pm,12,40,user1,실시간으로 시청자료를 보고
2020,3,19,pm,12,40,user1,과제가 5페이지 이내로 레포트야
2020,3,19,pm,12,40,user1,미친놈
2020,3,19,pm,12,44,user3,ㅁㅊ
2020,3,19,pm,12,46,user1,7시 카페 어떠셔..
2020,3,19,pm,12,46,user1,ㅅㅂ..
2020,3,19,pm,12,47,user3,어디 카페로갈까
2020,3,19,pm,12,47,user3,근데 실시간이아니라 출석만 실시간으로 하는거아님??
2020,3,19,pm,12,47,user1,음 그런가??
2020,3,19,pm,12,47,user1,과제 5페ㅣ지는
2020,3,19,pm,12,47,user1,너무햇다
2020,3,19,pm,12,47,user3,저게 언제다쓰냐
2020,3,19,pm,12,47,user1,일단 토론 참여하고
2020,3,19,pm,12,47,user1,도망갈까
2020,3,19,pm,12,48,user3,ㅋㅋㅋㅋㅋ3시에 들가보고 나중에 들어도되면 출튀ㅋㅋㅋ
2020,3,19,pm,12,48,user1,ㅇㅈ
2020,3,19,pm,12,48,user1,그러고 세아 카페로
2020,3,19,pm,12,48,user1,출근도장찍겟음
2020,3,19,pm,12,50,user1,한대앞역 할리스임
2020,3,19,pm,12,54,user2,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020,3,19,pm,12,54,user2,아니 자기가 머 할말이 있다고 그걸 실시간으로?
2020,3,19,pm,12,56,user2,이모티콘
2020,3,19,pm,12,58,user1,이래서
2020,3,19,pm,12,58,user1,갓선이짱임
2020,3,19,pm,12,58,user2,캡스톤 2학기만 들으면
2020,3,19,pm,12,58,user2,졸업이안대나?
2020,3,19,pm,12,58,user2,ㅜㅜ
2020,3,19,pm,12,58,user1,ㅇㅇ
2020,3,19,pm,12,59,user1,논문쓰면?
2020,3,19,pm,12,59,user2,논문쓸까햇는데.. 우리 공모전 퀄을 보아하니 걍 이걸로 캡스톤 날먹해두 좋을것같구..
2020,3,19,pm,1,1,user2,이모티콘
2020,3,19,pm,1,1,user3,ㅋㅋㅋㅋ
2020,3,19,pm,1,1,user3,졸업하기힘들다
2020,3,19,pm,1,1,user2,그니까여
2020,3,19,pm,1,1,user2,한국대학 졸업 누가쉽댔는지..후
2020,3,19,pm,1,1,user2,행정상문제로 안댄대?
2020,3,19,pm,1,3,user1,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020,3,19,pm,1,3,user1,캡스톤 2학기때는
2020,3,19,pm,1,3,user1,발표가 아니라
2020,3,19,pm,1,3,user1,주제 정하는데 한 학기 다 씀
2020,3,19,pm,1,4,user2,그건 마져
2020,3,19,pm,1,4,user1,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020,3,19,pm,1,5,user1,캡스톤은 하드웨어를 섞어야
2020,3,19,pm,1,5,user1,결과물이 좋대
2020,3,19,pm,1,5,user2,뭔가 발명을할래?
2020,3,19,pm,1,5,user2,SCM애도음되는?
2020,3,19,pm,1,5,user2,시뮬툴을 만들어서 아두이노에 얹을까?
2020,3,19,pm,1,7,user1,ㅋㅋㅋㅋㅋㅋㅋㅋ
2020,3,19,pm,1,7,user1,그걸
2020,3,19,pm,1,7,user1,좀따가서 얘기
2020,3,19,pm,1,7,user1,ㄱㄱ
2020,3,19,pm,1,8,user3,우린 캡스톤 아직 남일 ㅋㅋㅋㅋㅋㅋ
2020,3,19,pm,1,8,user3,뭐하지 캡스톤.....
2020,3,19,pm,2,54,user1,아
2020,3,19,pm,2,54,user1,개새끼
