Date,User,Message
2020-03-17 16:42,유저17,유저17 invited 유저21 and.
2020-03-17 16:42,유저17,사회계층론
2020-03-17 16:42,유저17,저희 같은조입니당
2020-03-17 16:42,유저17,ㅎㅎ
2020-03-17 16:42,유저17,근데 재민오빠 번호몰라서
2020-03-17 16:43,유저17,유저18이 초대해야함
2020-03-17 16:43,유저9,감사합니다
2020-03-17 16:43,유저9,!
2020-03-17 16:43,유저18,유저18 invited 유저19.
2020-03-17 16:43,유저18,조 톡방임다~~
2020-03-17 16:44,유저17,안녕하세용!
2020-03-17 16:44,유저19,안녕하세요...!
2020-03-17 16:45,유저20,안녕하세요!
2020-03-17 16:45,유저19,다들 정말
2020-03-17 16:45,유저19,오랜만이네요 ㅎㅎ
2020-03-17 16:45,유저17,ㅎㅎ오랜만이에욥
2020-03-17 16:46,유저17,"그나저나 그룹 구성된거 어디에 말해야하는건가여,,,??"
2020-03-17 16:46,유저21,카페!!
2020-03-17 16:46,유저19,일단 카페에보니까
2020-03-17 16:46,유저19,6개 그룹으로 나뉘어져있긴 해요.
2020-03-17 16:47,유저17,"그 모냐,, 저기 3학년 단톡에서 팀 구성 얘기하고 있는데 저희 조한다고 말해야할까요,,?"
2020-03-17 16:49,유저9,회장님이 전체적으로 관리할 것 같으니까
2020-03-17 16:49,유저20,그러는게 좋을 것 같아욤
2020-03-17 16:49,유저9,3학년 공지방에서 다 짠 팀은 여기 얘기하면 되냐구 물어보면 될거 같아욤
2020-03-17 16:49,유저18,넵넵
2020-03-17 16:49,유저17,넹넹!
2020-03-17 16:50,유저20,저희 계급 지도 그리기는 지금 할까요 나중에 할까요
2020-03-17 16:51,유저20,어느게 더 좋으실까요??
2020-03-17 16:51,유저18,언제 시간되시나요???
2020-03-17 16:51,유저19,온라인으로
2020-03-17 16:51,유저19,할 수 있는거죠?
2020-03-17 16:51,유저20,넵 그래야할 것 같아요!
2020-03-17 16:51,유저17,넹넹
2020-03-17 16:51,유저20,지금 해버릴까요??
2020-03-17 16:52,유저19,지금하는게 마음은 더 편할것같긴 합니당
2020-03-17 16:52,유저17,전 지금 조아용
2020-03-17 16:52,유저18,저도 지금됩니다
2020-03-17 16:52,유저9,저두요~
2020-03-17 16:53,유저21,저두요!
2020-03-17 16:53,유저20,그럼 저희 조장정해서
2020-03-17 16:53,유저20,조장이 의견 수렴해서
2020-03-17 16:53,유저20,대표로 그려요!
2020-03-17 16:53,유저20,아까 줌으로 하는게 편할까요 그냥 카톡으로 할까요?
2020-03-17 16:53,유저17,"흠,,"
2020-03-17 16:54,유저18,흐으으음...
2020-03-17 16:54,유저18,줌 회의하는법
2020-03-17 16:54,유저18,아시는분...?
2020-03-17 16:54,유저20,그냥
2020-03-17 16:54,유저20,만들면되는것같긴해용
2020-03-17 16:54,유저18,근데 저희
